0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.8874459,1.2532245,0.0,4.473252,4.657416,0.0,0.0,3.4188075,1.2630188,0.0,0.0,2.174416,0.17629898,0.0,0.0,1.3245562
0.86916524,1.2279317,0.0,4.4521623,4.6221647,0.0,0.0,3.367939,1.2346073,0.0,0.0,2.1120274,0.16986448,0.0,0.0,1.3020942
0.9189671,1.2388836,0.0,4.484527,4.6729536,0.0,0.0,3.3777008,1.2342215,0.0,0.0,2.1666226,0.17534009,0.0,0.0,1.3523365
0.9434382,1.1055168,0.0,4.629495,4.7271843,0.0,0.0,3.3975961,1.1733056,0.0,0.0,2.108202,0.12117024,0.0,0.0,1.353898
0.9521781,1.1205444,0.0,4.628896,4.741027,0.0,0.0,3.407232,1.17949,0.0,0.0,2.1296465,0.12310683,0.0,0.0,1.3666245
0.9609176,1.1355711,0.0,4.6282964,4.754869,0.0,0.0,3.4168677,1.1856744,0.0,0.0,2.151091,0.12504274,0.0,0.0,1.3793504
0.96965873,1.1506362,0.0,4.6276937,4.768716,0.0,0.0,3.4264681,1.1918428,0.0,0.0,2.1724734,0.12701301,0.0,0.0,1.3920603
0.9633132,1.1272068,0.0,4.625687,4.744153,0.0,0.0,3.378261,1.1758044,0.0,0.0,2.1264884,0.11474929,0.0,0.0,1.3856623
0.91607594,1.1493176,0.0,4.4243417,4.6000676,0.0,0.0,3.1986344,1.1064559,0.0,0.0,1.9944434,0.17641312,0.0,0.0,1.3175191
0.90554285,1.094316,0.0,4.5029488,4.6147013,0.0,0.0,3.2322047,1.1103151,0.0,0.0,1.9724263,0.13974959,0.0,0.0,1.3069623
0.9098165,1.1026034,0.0,4.5514455,4.657541,0.0,0.0,3.2901158,1.137199,0.0,0.0,2.0122957,0.11456954,0.0,0.0,1.3261089
0.90203506,1.103765,0.0,4.5458393,4.647894,0.0,0.0,3.2793324,1.1395687,0.0,0.0,2.0006735,0.1084737,0.0,0.0,1.3228399
0.89425397,1.1049265,0.0,4.540234,4.6382484,0.0,0.0,3.268549,1.1419386,0.0,0.0,1.9890515,0.102377184,0.0,0.0,1.319571
0.8864723,1.1060884,0.0,4.5346284,4.6286035,0.0,0.0,3.2577665,1.1443088,0.0,0.0,1.9774303,0.096281886,0.0,0.0,1.3163017
0.892261,1.1101748,0.0,4.537238,4.6353593,0.0,0.0,3.2565563,1.1442418,0.0,0.0,1.983691,0.09516208,0.0,0.0,1.3243719
0.92456317,1.0958532,0.0,4.5594525,4.6620154,0.0,0.0,3.2627997,1.1275672,0.0,0.0,2.0052857,0.10846407,0.0,0.0,1.3424526
0.8949699,1.1394187,0.0,4.5154924,4.6268406,0.0,0.0,3.264198,1.1686709,0.0,0.0,2.0144837,0.11590036,0.0,0.0,1.3271145
0.86098564,1.122744,0.0,4.4798393,4.5788884,0.0,0.0,3.2375422,1.1546009,0.0,0.0,1.960199,0.12183351,0.0,0.0,1.2850065
0.8490598,1.1523879,0.0,4.4345193,4.55982,0.0,0.0,3.232999,1.1632501,0.0,0.0,1.9658762,0.13822556,0.0,0.0,1.2747557
0.8371343,1.1820318,0.0,4.3891983,4.5407524,0.0,0.0,3.228456,1.1718997,0.0,0.0,1.9715532,0.15461758,0.0,0.0,1.2645048
0.8252081,1.2116756,0.0,4.3438787,4.521685,0.0,0.0,3.2239141,1.1805494,0.0,0.0,1.9772314,0.17100966,0.0,0.0,1.2542536
0.8353255,1.1516665,0.0,4.3951325,4.542897,0.0,0.0,3.250638,1.148248,0.0,0.0,1.9603086,0.16947341,0.0,0.0,1.2409775
0.9103178,1.1166916,0.0,4.490171,4.6285048,0.0,0.0,3.2965007,1.1320018,0.0,0.0,2.0285175,0.17368266,0.0,0.0,1.2965521
0.9386361,1.1785533,0.0,4.4929724,4.674917,0.0,0.0,3.3308082,1.1676402,0.0,0.0,2.110296,0.17570111,0.0,0.0,1.3458173
0.9089923,1.1856675,0.0,4.41481,4.6037364,0.0,0.0,3.2534983,1.1502808,0.0,0.0,2.0478318,0.1931389,0.0,0.0,1.3126055
0.90125227,1.1938064,0.0,4.4055324,4.597682,0.0,0.0,3.2579315,1.1568625,0.0,0.0,2.049169,0.19459468,0.0,0.0,1.3070146
0.8935122,1.2019451,0.0,4.396254,4.5916276,0.0,0.0,3.2623622,1.1634443,0.0,0.0,2.0505044,0.19605124,0.0,0.0,1.3014249
0.88577265,1.2100837,0.0,4.3869753,4.5855746,0.0,0.0,3.2667952,1.1700255,0.0,0.0,2.0518415,0.19750765,0.0,0.0,1.2958343
0.8394125,1.2425925,0.0,4.3377466,4.526009,0.0,0.0,3.2587357,1.2130345,0.0,0.0,2.0380316,0.20314309,0.0,0.0,1.2618212
0.83597535,1.1380869,0.0,4.3106275,4.47771,0.0,0.0,3.2446742,1.1128817,0.0,0.0,1.9586822,0.27744046,0.0,0.0,1.176217
0.8241825,1.1241336,0.0,4.309095,4.449482,0.0,0.0,3.218285,1.1150843,0.0,0.0,1.9308068,0.27476966,0.0,0.0,1.163357
0.83380675,1.1087852,0.0,4.3053074,4.4458427,0.0,0.0,3.2031794,1.0938021,0.0,0.0,1.9201901,0.28860536,0.0,0.0,1.1605319
